"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
PRIM

Izinsiz girenleri durdurduğunuzda prim alacaksınız. Ateş edip, ancak hedefinizi ıskaladığınızda priminiz daha düşük olur.
__________________________
SILAH PROTOKLÜ

Diğer kağıttaki kılavuzu inceleyin."
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","Uluslarası basında çıkan olumsuz makaleler göç protokolünü etkiledi. 

Reddedilen her başvuruya RET SEBEBI kaşesi basılmalıdır.

Bilgisayarla çalışan yeni bir kaşe sistemi eklendi. Uyuşmazlığı yolcuya belirttikten sonra RET SEBEBI kaşesi basabilirsiniz.

Devamı arkada..."
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
RET PROTOKOLÜ

RET SEBEBI kaşesi ilk sorgulamanın ardından çıkar.

Girişi reddedeceğiniz zaman hep REDDEDILDI hem de SEBEP kaşelerini basın.

Eğer yolcu uyuşmazlığı açıklar ve doğru çıkarsa, SEBEP kaşesi basıldığı halde geçiş hakkı alabilir."
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","Impor, Arstotzka'dan gelen tüm ihraç mallarını geri çevirdi.

Ticaret Bakanlığının isteği üzerine, Dışişleri Bakanlığı bu konuda yaptırımlar uygulayacak.

Impor'dan gelen tüm yolcuları reddedin."
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","Impor hatalı politikasından vazgeçti.

Imporlular artık ülkeye giriş yapabilir.

Doğu Grestin operasyonlarının tümen yetkilisi bugün tekrar ziyaret edecek."
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","Siyasi sığınma için özel bir program oluşturuldu.

Sığınma talebinde bulunanların geçerli bir ILTICA TALEBI belgesi ibraz etmeleri gerekmektedir.

Bu sebeple gelen yolcuların GIRIŞ IZNI veya KIMLIK KARTI ibraz etmeleri gerekmemektedir."
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","Pozisyonunuz önemli ve sorumluluklarınız geniştir.

Tüm kuralları harfiyen uygulayın."
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","Son yaşanan olaylardan sonra ALTANlı Arstotzka vatandaşlarına şüpheyle yaklaşılıyor.

Haber Alma Bakanlığı işbirliği yapmamızı talep etti.

Kulübeye belgelere el koyabilmeniz için özel bir çekmece eklendi.

Devamı arkada..."
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","Kural kitabına müsadere politikası için bir bölüm eklendi. 

ALTAN bölgesinden gelen tüm Arstotzka vatandaşlarının pasaportlarına el koyun.

Halihazırdaki kurallara uygun olduğu sürece pasaportuna el koyulmuş olan yolculara giriş izni verilebilir.

Böyle durumlarda kabul veya ret kaşesi basmak için GEÇICI VIZE FIŞI verilecektir."
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Birleşik Federasyon vatandaşlarında salgın hastalık yayma riski bulunmakta.

Tüm Birleşik Federasyon vatandaşlarını reddedin.

ALTAN'dan gelen Arstotzka vatandaşların pasaportlarına el koymaya devam edin."
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","Hastalık riski çok fazla olduğundan yeni bir protokol geliştirildi. 

Tüm yolcular güncel ÇOCUK FELCI aşısı yaptırdıklarını gösteren geçerli bir AŞI KARTI ibraz etmelidir

Bu gereklilik tüm yerli, yabancı, diplomat ve sığınma hakkı talep edenleri kapsamaktadır.

Devamı arkada..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Birleşik Federasyon vatandaşları gerekli belgeleri oldukları takdirde giriş yapabilir.

ALTAN'dan gelen Arstotzka vatandaşların pasaportlarına el koymaya devam edin."
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","Verimliliği arttırmak için GIRIŞ IZNI ve EK KIMLIK BILGILERI belgeleri tek bir belge haline gelip ERIŞIM IZNI belgesine dönüştürüldü.

Artık yabancıların ERIŞIM IZNI belgesi ibraz etmeleri gerekmektedir.

Devamı arkada..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Dün yaşanan saldırı sonrasında olağanüstü toplantı kararı alındı. 

Bugün önemli bir Kolechialı arabulucu gelip yaşanan sorunları bu sınırda tartışacak.

ALTAN'dan gelen Arstotzka vatandaşların pasaportlarına el koymaya devam edin."
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","Devam eden saldırıların ardından Haber Alma Bakanlığı pasaport müsadere programını genişletme kararı aldı. 

Tüm Arstotzka pasaportlarına el koyun.

Istisna yoktur.

Yabancı pasaportları müsadere altına almayınız."
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Tüm memurlar kapsamlı bir denetimine tabidir. Gayri resmi gruplarla iletişim içinde olanlar tutuklanacaktır.

Denetim tarihiniz: 24 ARALIK

GÖREV BÖLGENIZDEN AYRILMAYIN.

Devamı arkada..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","Tüm Arstotzka pasaportlarına el koymaya devam edin."
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Tüm memurlar kapsamlı bir denetimine tabidir. Gayri resmi gruplarla iletişim içinde olanlar tutuklanacaktır.

Denetim tarihiniz: 24 ARALIK

GÖREV BÖLGENIZDEN AYRILMAYIN.

Devamı arkada..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","Tüm Arstotzka pasaportlarına el koymaya devam edin."
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","Dışişleri Bakanlığı bu sınır kapısının kapatılmasıyla ilgili kararlar alıyor.

Ikinci bir emre kadar görevinize devam edin.

Devamı arkada..."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","Yarın sabah denetime tabi tutulacaksınız.

GÖREV BÖLGENIZDEN AYRILMAYIN.

Tüm Arstotzka pasaportlarına el koymaya devam edin."
"facts","$paper: Invalid $fact","$paper: Hatalı $fact"
"facts","Missing $paper","Eksik $paper"
"facts","$0 DISTRICT","$0 BÖLGESI"
"facts","Presence","Onurluluk"
"facts","Sufficience","Elverişlilik"
"facts","Excellence","Seçkinlik"
"facts","Obristan","Obristan"
"facts","Antegria","Antegria"
"facts","Republia","Republia"
"facts","UnitedFed","BirleşikFed"
"facts","Impor","Impor"
"facts","Kolechia","Kolechia"
"facts","Arstotzka","Arstotzka"
"facts","Skal","Skal"
"facts","Lorndaz","Lorndaz"
"facts","Mergerous","Mergerous"
"facts","St. Marmero","St. Marmero"
"facts","Glorian","Glorian"
"facts","Outer Grouse","Outer Grouse"
"facts","True Glorian","True Glorian"
"facts","Lesrenadi","Lesrenadi"
"facts","Bostan","Bostan"
"facts","Great Rapid","Great Rapid"
"facts","Shingleton","Shingleton"
"facts","Korista City","Korista City"
"facts","Enkyo","Enkyo"
"facts","Haihan","Haihan"
"facts","Tsunkeido","Tsunkeido"
"facts","Yurko City","Yurko City"
"facts","Vedor","Vedor"
"facts","West Grestin","Batı Grestin"
"facts","Orvech Vonor","Orvech Vonor"
"facts","East Grestin","Doğu Grestin"
"facts","Paradizna","Paradizna"
"facts","Passport","Pasaport"
"facts","Entry Ticket","Giriş Bileti"
"facts","Entry Permit","Giriş Izni"
"facts","Work Pass","Çalışma Vizesi"
"facts","Id Card","Kimlik Kartı"
"facts","Id Supplement","Ek Kimlik Bilgileri"
"facts","Access Permit","Erişim Iznı"
"facts","Diplomatic Auth","Diplomatik Ruhsat"
"facts","Asylum Grant","Iltica Talebi"
"facts","Vaccine Cert","Aşı Kartı"
"facts","Identity Record","Kimlik Kaydı"
"facts","Fingerprints","Parmak izi"
"facts","Name","Adı"
"facts","Id Number","Kimlik No"
"facts","Expiration Date","Geçerlilik Tarihi"
"facts","Issuing City","Basıldığı Yer"
"facts","Birth Date","Doğum Tarihi"
"facts","Alias","Rumuz"
"facts","Height","Boy"
"facts","Weight","Kilo"
"facts","Description","Açıklama"
"facts","Thumbprint","Parmak Izi"
"facts","Date","Tarih"
"facts","Purpose","Amaç"
"facts","Duration","Süre"
"facts","Face","Yüz"
"facts","District","Bölge"
"facts","Gender","Cinsiyet"
"facts","Work End Date","Son Çalışma Günü"
"facts","Altan","Altan"
"facts","Vescillo","Vescillo"
"facts","Burnton","Burnton"
"facts","Octovalis","Octovalis"
"facts","Gennistora","Gennistora"
"facts","Lendiforma","Lendiforma"
"facts","Wozenfield","Wozenfield"
"facts","Fardesto","Fardesto"
"facts","DENTISTRY","DIŞÇILIK"
"facts","HEALTH-CARE","SAĞLIK ÇALIŞANI"
"facts","GENERAL-LABOR","IŞÇI"
"facts","ENGINEERING","MÜHENDISLIK"
"facts","SPORTS","SPORCU"
"facts","ARCHITECTURE","MIMARLIK"
"facts","FOOD-SERVICE","MUTFAK ÇALIŞANI"
"facts","AVIATION","HAVACILIK"
"facts","ACCOUNTING","MUHASEBE"
"facts","FISHING","BALIKÇILIK"
"facts","DRAFTING","TASARIMCI"
"facts","RESEARCH","ARAŞTIRMACI"
"facts","FINE-ARTS","GÜZEL SANATLAR"
"facts","AGRICULTURE","ZIRAAT"
"facts","MANUFACTURING","IMALAT"
"facts","CONSTRUCTION","INŞAAT"
"facts","SURVEYING","HARITACILIK"
"facts","STATISTICS","ISTATISTIK"
"facts","POLIO","ÇOCUK FELCI"
"facts","HPV","IPV"
"facts","COWPOX","ÇIÇEK"
"facts","TETANUS","TETANOS"
"facts","YEL.FEV.","SARI HUMMA"
"facts","CHOLERA","KOLERA"
"facts","RUBELLA","KIZAMIKÇIK"
"facts","HEP-B","HEPATIT B"
"facts","MEASLES","KIZAMIK"
"facts","TUBERC.","TÜBERKÜLOZ"
"facts","2 DAYS","2 GÜN"
"facts","14 DAYS","14 GÜN"
"facts","1 MONTH","1 AY"
"facts","2 MONTHS","2 AY"
"facts","3 MONTHS","3 AY"
"facts","6 MONTHS","6 AY"
"facts","1 YEAR","1 YIL"
"facts","FOREVER","SÜRESIZ"
"facts","visit","turistik"
"facts","transit","transit"
"facts","work","çalışma"
"facts","immigrate","göç"
"facts","Possible Smuggler Admitted","Muhtemel Kaçakçı Geçirildi"
"facts","Missing documents","Belgeler eksik"
"facts","Wanted criminal admitted","Suçlu Geçirildi"
"facts","Incorrect purpose response","Hatalı Amaç Belirtildi"
"facts","Incorrect visit duration response","Hatalı kalış süresi belirtildi"
"facts","Passport: Non-matching photo","Pasaport: Fotoğraf eşleşmiyor"
"facts","Forged Entry Permit","Sahte Giriş Izni"
"facts","Forged Work Pass","Sahte Çalışma Vizesi"
"facts","Id Card: Non-matching photo","Kimlik: Fotoğraf eşleşmiyor"
"facts","Forged Access Permit","Sahte Erişim Izni"
"facts","No Diplomatic Access to Arstotzka","Arstotzka'ya Diplomatik Erişim Yok"
"facts","Forged Diplomatic Auth","Sahte Diplomatik Ruhsat"
"facts","Forged Asylum Grant Seal","Sahte Iltica Talebi Mührü"
"facts","Necessary vaccine expired","Gerekli aşı tarihi geçmiş"
"facts","Missing necessary vaccine","Gerekli aşı yapılmamış"
"facts","Name does not match record","Isim kayıtlarla eşleşmiyor"
"facts","Alias does not match record","Rumuz kayıtlarla eşleşmiyor"
"facts","Fingerprints do not match record","Parmak izi kayıtlarla eşleşmiyor"
"facts","Cobrastan is not a real country","Cobrastan isminde ülke yok"
"facts","No entry from Antegria","Antegria'dan giriş yasak"
"facts","No entry from Arstotzka","Arstotzka'dan giriş yasak"
"facts","No entry from Republia","Republia'dan giriş yasak"
"facts","No entry from United Fed","Birleşik Fed.'dan giriş yasak"
"facts","No entry from Obristan","Obristan'dan giriş yasak"
"facts","No entry from Impor","Impor'dan giriş yasak"
"facts","No entry from Kolechia","Kolechia'dan giriş yasak"
"facts","Possible Terrorist Admitted","Olası Terorist Geçirildi"
"facts","Entrant Holds Conflicting Passports","Yolcunun Pasaportları Uyuşmuyor"
"facts","Entrant must have a passport","Yolcunun pasaportu olmalı"
"facts","Foreigners require an entry permit","Yabancıların giriş izni olmalı"
"facts","Foreigners require an entry ticket","Yabancıların giriş bileti olmalı"
"facts","All documents must be current","Tüm belgeler güncel olmalı"
"facts","Workers must have a work pass","Çalışanların çalışma vizesi olmalı"
"facts","Citizens must have an id card","Vatandaşların kimlikleri olmalı"
"facts","Foreigners require an id supplement","Yabancıların Ek Kimlik Bilgileri olmalı"
"facts","Arstotzkan citizens only","Yalnızca Arstotzka vatandaşları"
"facts","No entry from United Federation","Birleşik Fed'dan giriş yasaktır"
"facts","No weapons or contraband","Silah ve kaçak mal yasaktır"
"facts","All Kolechians must be searched","Tüm Kolechialılar taranmalıdır"
"facts","Diplomats require authorization","Diplomatların ruhsatları olmalı"
"facts","Entrant must have polio vaccine cert","Yolcuların çocuk felci aşısı olmalı"
"facts","Asylum seekers must have a grant","Sığınmacıların izinleri olmalı"
"facts","Foreigners require an access permit","Yabancıların erişim izni olmalı"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","ALTAN BÖLGESINDEKI VATANDAŞLARIN PASAPORTLARINI MÜSADERE ALTINA ALIN."
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","TÜM ARSTOTZKA PASAPORTLARINI MÜSADERE ALTINA ALIN."
"facts","Passport not confiscated","Pasaport müsadere altına alınmalıdır"
"paper:SecondPassport","West Grestin","Batı Grestin"
"paper:Rules","Basic Rules","Temel Kurallar"
"paper:Rules","Regional Map","Harita"
"paper:Rules","Booth Info","Kabin Hakkında"
"paper:Rules","Documents","Belgeler"
"paper:Rules","Confiscation","Müsadere"
"paper:Rules","Obristan","Obristan"
"paper:Rules","Antegria","Antegria"
"paper:Rules","Republia","Republia"
"paper:Rules","United","Birleşik"
"paper:Rules","Federation","Federasyon"
"paper:Rules","Impor","Impor"
"paper:Rules","Kolechia","Kolechia"
"paper:Rules","Arstotzka","Arstotzka"
"paper:Rules","ANTEGRIA","ANTEGRIA"
"paper:Rules","ARSTOTZKA","ARSTOTZKA"
"paper:Rules","IMPOR","IMPOR"
"paper:Rules","KOLECHIA","KOLECHIA"
"paper:Rules","OBRISTAN","OBRISTAN"
"paper:Rules","REPUBLIA","REPUBLIA"
"paper:Rules","UNITED FED.","BİRLEŞİK FED."
"paper:Rules","Id Card (Native)","Kimlik (Yerli)"
"paper:Rules","Entry Permit","Giriş Izni"
"paper:Rules","Id Supplement","Ek Kimlik Bilgileri"
"paper:Rules","Access Permit","Erişim Izni"
"paper:Rules","Work Pass","Çalışma Vizesi"
"paper:Rules","Diplomatic Auth.","Diplomatik Ruhsat"
"paper:Rules","Grant of Asylum","Iltica Talebi"
"paper:Rules","Vaccine Cert.","Aşı Kartı"
"intro","Congratulations.","Tebrikler."
"intro","The October labor lottery is complete. Your name was pulled.","Ekim ayı kurası çekildi ve kuradan isminiz çıktı."
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","Yerleştirme için Grestin sınır kapısında Dışişleri Bakanlığıyla iletişime geçin."
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","Siz ve aileniz için Doğu Grestin'de 8. sınıf bir daire tahsis edildi."
"intro","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:in-debt","Arstotzka has zero tolerance for delinquency.","Arstotzka'nın borca karşı asla toleransı yoktur."
"end:in-debt","Your family will be sent back to their village.","Aileniz köye geri gönderilecek."
"end:in-debt","You are under arrest until your debts are repaid.","Borçlarınız ödenene kadar tutuklusunuz."
"end:in-debt","A replacement inspector will be found easily.","En kısa zamanda başka bir memur yerinize atanacak."
"end:in-debt","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:family-dead","Your entire family is gone.","Ailen gitti."
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","Çalışma Bakanlığı, Arstotzka'nın geleceğine odaklandı."
"end:family-dead","Workers are expected to support large healthy families.","Memurların ailelerine iyi bakması beklenmektedir."
"end:family-dead","Your position will be filled by someone more appropriate.","Yerinize daha iyi bir aday getirilecek."
"end:family-dead","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","Şüpheli tarikatlarla çalıştığınız için tutuklusunuz."
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","Haber Alma Bakanlığı soruşturma başlatıyor."
"end:turned-over-ezic-docs","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","Maliye Bakanlığı gelirinizde olağanüstü bir artış tespit etti."
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","Tutuklandınız ve hakkınızda soruşturma açıldı."
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","Aileniz de sorgulamalarda yer alacak."
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:caught-with-ezic-money","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:killed-innocent","You are under arrest for the murder of an innocent.","Masum birini öldürmekten tutuklusunuz."
"end:killed-innocent","The penalty is death.","Ölüm cezasına çarptırıldınız."
"end:killed-innocent","Your family will be questioned about their involvement.","Aileniz de durumla olan ilgileri hakkında sorgulanacak."
"end:killed-innocent","The border will remain open under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:killed-innocent","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:tranqed-innocent","You are under arrest for attacking an innocent.","Masum birine saldırmaktan tutuklusunuz."
"end:tranqed-innocent","The penalty is forced labor.","Fazla mesaiye çarptırıldınız."
"end:tranqed-innocent","Your family will be questioned about their involvement.","Aileniz de durumla olan ilgileri hakkında sorgulanacak."
"end:tranqed-innocent","The border will remain open under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:tranqed-innocent","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","Bir Arstotzka memurunu öldürdüğünüz için tutuklusunuz."
"end:killed-guard","The penalty is death.","Ölüm cezasına çarptırıldınız."
"end:killed-guard","Your family will be questioned about their involvement.","Aileniz de durumla olan ilgileri hakkında sorgulanacak."
"end:killed-guard","The border will remain open under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:killed-guard","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","Bir Arstotzka memuruna saldırmaktan dolayı tutuklusunuz."
"end:tranqed-guard","The penalty is death.","Ölüm cezasına çarptırıldınız."
"end:tranqed-guard","Your family will be questioned about their involvement.","Aileniz de durumla olan ilgileri hakkında sorgulanacak."
"end:tranqed-guard","The border will remain open under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:tranqed-guard","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:killed-target","You are under arrest for the murder of an innocent.","Masum birini öldürmekten tutuklusunuz."
"end:killed-target","The penalty is death.","Ölüm cezasına çarptırıldınız."
"end:killed-target","Your family will be questioned about their involvement.","Aileniz de durumla olan ilgileri hakkında sorgulanacak."
"end:killed-target","The border will remain open under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:killed-target","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:killed-target","[A note appears from under the cell door]","[Hücrenin kapısının altından bir not belirdi]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","MEMUR BEY - AILEN IYI - HEDEF ÖLDÜ AMA BAŞKA SORUNLAR ÇIKTI"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","YENİ MEMUR BIZIMLE ÇALIŞMIYOR - EZİC'IN AKTIVITELERI DURAKSADI"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","DAHA FAZLA DESTEK VEREMEYECEĞİZ - EZİC PASIFLEŞECEK"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","AILEN OBRISTAN'A YERLEŞTIRILECEK - BOL ŞANS"
"end:tranqed-target","You are under arrest for attacking an innocent.","Masum birine saldırmaktan tutuklusunuz."
"end:tranqed-target","The penalty is forced labor.","Fazla mesaiye çarptırıldınız."
"end:tranqed-target","Your family will be questioned about their involvement.","Aileniz de durumla olan ilgileri hakkında sorgulanacak."
"end:tranqed-target","The border will remain open under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:tranqed-target","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:tranqed-target","[A note appears from under the cell door]","[Hücrenin kapısının altından bir not belirdi]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","MEMUR BEY - AILEN IYI - HEDEF HASTANEDE IYILEŞTI"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","YENİ MEMUR BİZİMLE ÇALIŞMIYOR - EZİC'IN AKTIVITELERI DURAKSADI"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","DAHA FAZLA DESTEK VEREMEYECEĞİZ - EZİC PASIFLEŞECEK"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","AİLEN OBRISTAN'A YERLEŞTIRILECEK - BOL ŞANS"
"end:stuff-on-walls","You are under arrest for violating direct orders.","Emirleri yerine getirmemekten dolayı tutuklusunuz."
"end:stuff-on-walls","The penalty is forced labor.","Fazla mesaiye çarptırıldınız."
"end:stuff-on-walls","Your family will be sent back to their village.","Aileniz köye geri gönderilecek."
"end:stuff-on-walls","The border will remain open under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:stuff-on-walls","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","Müdürünüz sizi Arstotzka malını çalarken yakaladı."
"end:arrested-boss-buddy","The penalty is forced labor.","Fazla mesaiye çarptırıldınız."
"end:arrested-boss-buddy","Your family will be sent back to their village.","Aileniz köye geri gönderilecek."
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:arrested-boss-buddy","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:wall-destroyed","The Grestin Border wall has been destroyed.","Grestin Sınır Duvarı yıkıldı."
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","Sınırı koruyamadığınız için tutuklusunuz."
"end:wall-destroyed","Your family will be sent back to their village.","Aileniz köye geri gönderilecek."
"end:wall-destroyed","The border will reopen under a replacement inspector.","Yerinize başka bir memur getirilip sınır açık kalmaya devam edecek."
"end:wall-destroyed","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","Merhaba sayın memur."
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","Son günlerdeki hareketlerinizi inceledik."
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Kendilerini EZİC YILDIZI TARIKATI olarak adlandıran bir grupla işbirliği yaptığınız ortaya çıktı."
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","Tarikatın bazı üyeleri Arstotzka'da tutuklandı."
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","Bir EZİC üyesi yardım ve yataklık ettiğinizi itiraf etti."
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","Bu yaptığınız vatan hainliğidir."
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","Hoşçakalın Memur Bey."
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","Bu gece idam edileceksiniz."
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","Ailenizin durumu bilinmiyor."
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZİC yok edildi ve adalette denge sağlandı."
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[Hücrenin kapısının altından bir not belirdi]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","MEMUR BEY - BİZE SON ANDA İHANET ETTIN"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","EZİC'İN GÜNLERI SONA ERDI - AILENE YARDIM EDEMEYECEĞİZ"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","Sınırı geçtik."
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","EZİC YILDIZI TARIKATI için müthiş bir gün ama bize son anda ihanet ettin."
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","Yolsuzluk ve açgözlülük azalırken EZIC gelişiyor."
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","İhanetin, yanlış tarafı seçtin anlamına geliyor."
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","Bu devrimde sana ve ailene yer yok."
